"Monthly average retail prices for gasoline and fuel oil, by geography 1"
"Frequency: Monthly"
"Table: 18-10-0001-01 (formerly CANSIM 326-0009)"
"Release date: 2023-04-18"
"Geography: Canada, Census subdivision, Census metropolitan area, Census metropolitan area part"
""
""

"Type of fuel","Regular unleaded gasoline at self service filling stations",,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023"
,"Cents per litre",,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada","111.0","118.2","125.0","127.5","131.5","133.7","138.4","139.0","138.9","146.0","145.8","140.0","146.6","156.8","175.2","173.8","194.8","207.2","187.8","169.6","156.4","171.5","165.3","143.6","150.3","148.5","150.3"
"St. John's, Newfoundland and Labrador","124.8","130.8","141.6","141.2","143.5","145.0","153.4","151.9","153.8","160.2","159.1","151.7","159.2","170.9","187.8","189.9","215.5","219.7","200.4","184.3","166.8","180.1","181.2","157.8","165.5","166.1","165.1"
"Charlottetown and Summerside, Prince Edward Island","109.1","115.3","125.4","126.2","129.5","130.9","137.1","136.7","137.5","143.9","143.5","134.6","143.5","154.8","172.4","171.0","204.5","214.2","195.5","180.0","163.7","177.1","177.0","151.2","161.8","162.7","160.7"
"Halifax, Nova Scotia","107.5","115.4","125.0","125.1","127.6","129.2","135.4","134.1","135.1","142.4","140.8","130.7","141.4","153.8","171.1","169.1","195.8","208.1","187.1","170.2","153.5","167.2","170.2","144.0","151.3","151.4","150.1"
"Saint John, New Brunswick","106.1","112.3","123.1","125.8","128.7","130.2","135.8","136.3","137.7","143.1","146.0","139.6","142.2","153.2","169.6","174.4","194.2","210.6","192.1","177.1","158.5","168.9","174.1","149.5","157.4","158.7","156.7"
"Québec, Quebec","114.8","121.1","128.4","128.7","133.8","134.7","137.7","139.9","144.6","150.6","154.6","149.8","152.7","164.5","181.5","180.8","206.6","219.7","201.0","186.8","165.8","176.3","179.3","157.4","165.1","161.9","162.8"
"Montréal, Quebec","115.4","122.5","129.1","128.5","133.8","136.4","139.7","141.2","143.3","151.6","152.1","148.3","155.5","166.6","183.7","181.2","205.4","216.5","196.8","183.5","160.8","173.4","173.3","151.6","160.4","157.9","160.1"
"Ottawa-Gatineau, Ontario part, Ontario/Quebec 2","110.9","117.7","123.1","125.4","129.9","131.3","134.7","135.7","136.3","143.5","142.6","136.0","144.3","156.0","172.0","174.3","198.0","205.7","180.4","165.5","148.7","164.3","161.5","140.6","148.6","146.0","147.7"
"Toronto, Ontario","110.9","118.1","123.8","125.9","130.2","132.6","136.4","137.2","137.9","145.3","144.3","137.7","146.1","157.5","173.0","174.3","198.0","205.9","180.5","165.6","148.7","164.3","161.6","140.7","148.6","144.6","145.8"
"Thunder Bay, Ontario 3","121.4","125.3","132.9","138.5","138.5","140.0","146.2","146.7","146.8","153.7","153.8","143.8","149.9","157.5","186.9","187.9","196.0","214.4","185.7","164.3","164.9","185.4","159.1","140.1","150.5","151.7","160.7"
"Winnipeg, Manitoba","102.9","109.2","115.9","122.7","127.8","127.1","131.5","131.8","131.8","141.2","138.7","130.7","138.5","147.1","169.8","170.9","183.1","205.3","190.1","169.9","169.2","184.3","171.7","150.8","147.2","153.2","151.5"
"Regina, Saskatchewan","104.1","110.6","120.4","127.9","127.0","127.0","131.8","131.8","131.8","141.6","143.4","130.8","137.0","145.9","168.5","167.3","181.4","203.8","191.4","158.0","158.1","177.8","162.3","142.1","147.9","147.9","155.1"
"Saskatoon, Saskatchewan","103.8","110.3","119.7","126.5","125.3","126.5","131.3","131.3","131.7","141.3","143.0","129.7","135.7","145.7","168.2","167.2","181.5","202.9","186.5","153.8","155.0","177.3","157.1","140.0","147.6","146.4","152.7"
"Edmonton, Alberta 4","100.9","109.0","114.5","119.9","123.4","125.6","133.0","132.3","129.5","138.3","136.0","130.6","133.7","142.2","161.7","150.5","163.3","186.0","179.1","147.3","136.8","163.4","148.1","126.2","127.4","123.0","129.0"
"Calgary, Alberta 4","102.8","111.3","117.3","123.6","127.3","130.3","135.6","135.2","133.1","140.8","141.9","139.5","138.9","145.4","164.7","155.5","167.4","189.5","183.1","153.0","144.2","167.1","149.3","124.2","128.6","125.5","132.2"
"Vancouver, British Columbia","134.6","141.2","149.6","152.2","155.6","161.1","169.1","165.6","156.7","162.4","159.8","157.2","170.5","177.1","198.3","198.5","220.1","225.4","202.4","193.2","205.7","206.9","183.5","164.1","179.3","183.3","183.0"
"Victoria, British Columbia","128.0","137.6","148.1","148.3","154.3","155.2","167.2","163.1","156.3","160.9","158.2","152.6","164.6","170.1","196.6","194.1","217.4","225.2","203.0","189.0","196.5","211.6","185.7","160.4","173.4","178.6","180.9"
