,general_year,general_make,general_model,general_trim,general_fuelType,general_roofType,general_mileage,general_transmission,general_dashWarningLights,general_additionalWarranty,general_transferableWarranty,general_warrantyProvider,outside_liftgateOperation,outside_rustCorrosion,outside_bodyDentsDingsHailDamage,outside_collisionDamage,outside_paintFinish,outside_WindshieldGlass,outside_wiperBlades,outside_washerSprayNozzels,outside_driverSideMirror,outside_driverSideMirrorHeater,outside_passengerSideMirror,outside_passengerSideMirrorHeater,outside_driverFrontWindowGlass,outside_driverFrontWindowGlassOperation,outside_driverRearWindowGlass,outside_driverRearWindowGlassOperation,outside_passengerFrontWindowGlass,outside_passengerFrontWindowGlassOperation,outside_passengerRearWindowGlass,outside_passengerRearWindowGlassOperation,outside_driverPowerSlidingDoors,outside_passengerPowerSlidingDoors,outside_paintScratches,outside_additionalIssuesExterior,tires_driverFrontCondition,tires_driverFrontValveStemCondition,tires_driverFrontTreadDepth,tires_driverFrontPressure,tires_driverFrontBrakePad,tires_driverFrontBreakPadMeasurement,tires_driverFrontRotorCondition,tires_driverFrontSideSwayBar,tires_driverFrontShockStrut,tires_driverFrontCV,tires_driverRearCondition,tires_driverRearValveStemCondition,tires_driverRearTreadDepth,tires_driverRearPressure,tires_driverRearBrakePad,tires_driverRearBreakPadMeasurement,tires_driverRearRotorCondition,tires_driverRearSideSwayBar,tires_driverRearShockStrut,tires_driverRearCV,tires_passengerRearCondition,tires_passengerRearValveStemCondition,tires_passengerRearTreadDepth,tires_passengerRearPressure,tires_passengerRearBrakePad,tires_passengerRearBreakPadMeasurement,tires_passengerRearRotorCondition,tires_passengerRearSideSwayBar,tires_passengerRearShockStrut,tires_passengerRearCV,tires_passengerFrontCondition,tires_passengerFrontValveStemCondition,tires_passengerFrontTreadDepth,tires_passengerFrontBrakePad,tires_passengerFrontBreakPadMeasurement,tires_passengerFrontRotorCondition,tires_passengerFrontSideSwayBar,tires_passengerFrontShockStrut,tires_passengerFrontCV,tires_passengerFrontPressure,tires_aftermarketWheelsTires,tires_oemAvailable,tires_driverFrontTireCondition,tires_driverRearTireCondition,tires_passengerRearTireCondition,tires_passengerFrontTireCondition,tires_oemFactoryWheelsAvailable,tires_extraSetOfWheelsTiresAvailable,tires_secondSetOfTirePartOfDeal,tires_additionalIssuesTires,under_vehicle_frontDifferential,under_vehicle_frontDriveShaft,under_vehicle_transferCase,under_vehicle_rearDriveShaft,under_vehicle_rearDifferential,under_vehicle_mufflerExhaustTips,under_vehicle_additionalIssuesUnderVehicle,under_the_hood_batteryStrength,under_the_hood_engineOilLevel,under_the_hood_engineOilCondition,under_the_hood_powerSteeringFluid,under_the_hood_starter,under_the_hood_driveBelts,under_the_hood_radiatorHosesClamps,under_the_hood_coolantOverflowTank,under_the_hood_brakeFluid,under_the_hood_brakeMasterCylinder,under_the_hood_coolantStrength,under_the_hood_coolantStrengthMeasurement,under_the_hood_transmissionFluid,under_the_hood_waterPumpNoiseLeaks,under_the_hood_alternator,under_the_hood_fuelSystemOperation,under_the_hood_coolingFanOperation,under_the_hood_acCompressorOperation,under_the_hood_acSystemLeaks,under_the_hood_batteryRating,under_the_hood_batteryActualMeasurement,under_the_hood_visibleOilLeaks,under_the_hood_additionalIssuesUnderHood,lighting_interiorLights,lighting_headlightsLowBeam,lighting_headlightsHighBeam,lighting_frontDRL,lighting_frontSignalLights,lighting_sideMarkerLights,lighting_fogLights,lighting_reverseLights,lighting_rearSignalLights,lighting_emergency4WayFlashers,lighting_brakeLights,lighting_tailLights,lighting_licensePlateLight,lighting_additionalIssuesLighting,interior_navigationOperation,interior_audioSystem,interior_audioSteeringWheelControls,interior_cigaretteLighterPowerOutlets,interior_rearCamera,interior_carpetFloorMats,interior_odors,interior_rearWindowDefrostOperation,interior_seats,interior_seatBelts,interior_powerSeatOperation,interior_driverFrontSeatHeater,interior_driverRearSeatHeater,interior_passengerRearSeatHeater,interior_passengerFrontSeatHeater,interior_headrests,interior_dashboard,interior_rearViewMirror,interior_headliner,interior_sunroofOperation,interior_waterLeaks,interior_sunVisors,interior_driverFrontDoorTrim,interior_driverRearDoorTrim,interior_passengerFrontDoorTrim,interior_passengerRearDoorTrim,interior_gloveBoxCenterConsole,interior_steeringWheelSteeringColumn,interior_horn,interior_doorHandles,interior_hoodRelease,interior_trunkRelease,interior_fuelDoorRelease,interior_spareTire,interior_spareTireTools,interior_keyFobCondition,interior_numberOfKeysFobs,interior_numberOfWorkingKeysFobs,interior_acOperationBlowsCold,interior_gloveBox,interior_centerConsole,interior_steeringWheel,interior_carSmokedIn,interior_conditionOfSeats,interior_numberOfKeysFobsDeclared,interior_navigationEquipped,interior_rearCameraEquipped,interior_sunroofEquipped,interior_seatsMaterial,interior_additionalIssuesInterior,interior_evChargingKit,test_drive_engineRPMIdle,test_drive_engine3000RPM,test_drive_vibrationWhileDriving,test_drive_vibrationWhileBraking,test_drive_steeringWheelStraight,test_drive_alignmentCheck,test_drive_cruiseControl,test_drive_parkingBreak,test_drive_automaticManualTransmissionShift,test_drive_clutchOperationEngagement,test_drive_abnormalWindNoise,test_drive_alignment,test_drive_brakingSystem,test_drive_cabinHeatBlowsHot,test_drive_testDriveCompleted,test_drive_acOperationBlowsCold,test_drive_testDriveStatus,test_drive_additionalIssuesTestDrive,bid_start,created_at,vehicle_lead_source,seller_type,valuation_autozen_low,valuation_autozen_high,valuation_cbb_trade_in_low,valuation_cbb_trade_in_high,valuation_highest_bid_amount,valuation_seller_asking_price,valuation_starting_price,car_age,month_of_year,Predicted_75_lower_bound,Predicted_75_upper_bound,Predicted_price
1199,2015,Volkswagen,Jetta,Trendline + 4D Sedan 2.0 at,gasoline,hardTop,95120.0,automatic,yes,no,no,,ok,ok,ok,serviceSuggested,serviceSuggested,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceSuggested,,ok,,6.0,35.0,ok,8.0,ok,ok,ok,ok,ok,,5.0,39.0,ok,5.0,ok,ok,ok,ok,serviceSuggested,,5.0,40.0,ok,5.0,ok,ok,ok,ok,serviceSuggested,,6.0,ok,7.0,ok,ok,ok,ok,35.0,,,ok,ok,ok,ok,yes,no,no,,notAvailable,,notAvailable,,notAvailable,ok,,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,notAvailable,,ok,,,,,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,notAvailable,ok,ok,,ok,ok,,ok,,ok,notAvailable,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,1.0,,,ok,ok,no,ok,1.0,no,yes,no,cloth,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,yes,ok,,,7854.0,2021-11-08 17:58:52,MQL,consumer,7854.0,8744.0,7272.0,8096.0,10500.0,,7854.0,8,11,10010.07707982967,10497.772738236079,10500.797
1008,2015,Honda,Civic,LX 4D Sedan at,gasoline,hardTop,60275.0,automatic,no,yes,yes,,ok,ok,serviceRequired,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,ok,ok,ok,ok,ok,,8.0,32.0,notAvailable,1.0,notAvailable,ok,ok,ok,ok,,8.0,32.0,notAvailable,1.0,notAvailable,ok,ok,notAvailable,ok,,8.0,32.0,notAvailable,1.0,notAvailable,ok,ok,notAvailable,ok,,8.0,notAvailable,1.0,notAvailable,ok,ok,ok,32.0,,,ok,ok,ok,ok,yes,yes,yes,,notAvailable,,notAvailable,,notAvailable,ok,ok,serviceRequired,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,serviceRequired,,notAvailable,ok,ok,,ok,ok,,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,1.0,,,ok,ok,no,ok,2.0,no,yes,no,cloth,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,,ok,ok,,12600.0,2022-01-04 00:02:08,DDC,consumer,11722.0,12783.0,11381.0,12411.0,14600.0,15000.0,12074.0,8,1,13063.472805857306,14900.798889129725,14550.737
654,2017,Honda,Civic,Sport 5D Hatchback at,gasoline,hardTop,40942.0,automatic,no,yes,yes,,ok,ok,serviceSuggested,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceSuggested,ok,ok,,10.0,32.0,ok,9.0,ok,ok,ok,ok,ok,,9.0,32.0,ok,8.0,ok,ok,ok,ok,ok,,8.0,32.0,ok,8.0,ok,ok,ok,ok,ok,,9.0,ok,9.0,ok,ok,ok,ok,32.0,,,ok,ok,ok,ok,yes,no,no,,notAvailable,,notAvailable,,ok,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,notAvailable,ok,ok,,ok,ok,,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,1.0,,,ok,ok,no,ok,2.0,no,yes,no,leather,ok,,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,notAvailable,ok,ok,ok,ok,,ok,ok,ok,20500.0,2022-01-26 15:55:20,MQL,consumer,19560.0,21300.0,18990.0,20680.0,19300.0,23000.0,20500.0,6,1,19346.649192874313,21691.116901528472,22136.256
1285,2014,Volkswagen,Jetta,Comfortline 4D Sedan 1.8 at,gasoline,hardTop,122309.0,automatic,no,no,no, ,ok,serviceSuggested,serviceRequired,serviceRequired,ok,serviceSuggested,ok,ok,ok,notAvailable,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,serviceSuggested,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,notAvailable,notAvailable,notAvailable,notAvailable,notAvailable,ok,,,,,,,,,,,,,-42.0,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,notAvailable,ok,ok,ok,ok,ok,,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,no,no,ok,,1.0,,ok,ok,ok,no,serviceSuggested,1.0,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,yes,ok,,,6674.0,2021-07-26 23:01:07,DDC,consumer,6674.0,7564.0,6180.0,7004.0,6674.0,0.0,6674.0,9,7,6673.081722079898,7456.894009707425,6722.022
653,2015,Mercedes-Benz,GLK-Class,GLK350 4D Sport Util 4MATIC,gasoline,hardTop,95239.0,automatic,no,unknown,unknown,,ok,ok,serviceSuggested,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,ok,,ok,,11.0,32.0,ok,5.0,ok,ok,ok,ok,ok,,9.0,33.0,serviceSuggested,4.0,ok,ok,ok,ok,ok,,11.0,34.0,ok,5.0,ok,ok,ok,ok,ok,,10.0,ok,5.0,ok,ok,ok,ok,35.0,,,ok,ok,ok,ok,yes,no,no,,notAvailable,,notAvailable,,notAvailable,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,serviceSuggested,ok,ok,,ok,ok,,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,,,ok,ok,ok,ok,ok,no,yes,ok,,2.0,,,ok,ok,no,ok,2.0,yes,no,yes,leather,ok,,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,,ok,ok,ok,22255.0,2022-02-08 15:20:43,DDC,consumer,21607.0,23659.0,20978.0,22970.0,22255.0,,22255.0,8,2,22172.78682682313,23962.781900783386,22325.738
208,2019,Ram,1500 Classic,SLT Crew Cab SWB 4WD,diesel,hardTop,77835.0,automatic,yes,yes,yes,Ram,ok,ok,serviceSuggested,serviceSuggested,ok,serviceRequired,,,ok,,ok,,,ok,,notAvailable,,ok,,notAvailable,notAvailable,notAvailable,serviceSuggested,ok,ok,,9.0,32.0,ok,7.0,ok,ok,ok,ok,ok,,9.0,32.0,ok,8.0,ok,ok,ok,ok,ok,,8.0,32.0,ok,8.0,ok,ok,ok,ok,ok,,8.0,ok,8.0,ok,ok,ok,ok,32.0,,,ok,ok,ok,ok,yes,yes,yes,,notAvailable,,notAvailable,,notAvailable,ok,ok,serviceRequired,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,notAvailable,ok,ok,,ok,ok,no,ok,,ok,notAvailable,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,yes,yes,ok,,2.0,,,ok,ok,no,ok,1.0,no,yes,no,cloth,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,ok,39700.0,2022-03-18 16:02:05,DDC,consumer,33413.0,36524.0,32440.0,35460.0,39000.0,41000.0,39000.0,4,3,38999.150340593005,39346.51885540218,39034.977
1120,2014,Toyota,Camry,SE 4D Sedan,gasoline,hardTop,110578.0,automatic,no,no,no,,ok,ok,ok,ok,serviceSuggested,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceSuggested,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,notAvailable,,notAvailable,,notAvailable,ok,ok,serviceRequired,ok,ok,ok,ok,notAvailable,ok,ok,ok,,,,,,ok,,ok,,,,,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,,notAvailable,ok,ok,,notAvailable,ok,no,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,serviceSuggested,ok,ok,ok,yes,yes,ok,,2.0,,,ok,ok,no,ok,1.0,no,no,yes,leather,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,ok,12220.0,2022-03-07 21:16:07,DDC,consumer,11670.0,12824.0,11330.0,12450.0,14500.0,16500.0,12020.0,9,3,12544.8788074577,14624.23678007153,12480.271
238,2017,Audi,TT,2D Roadster,gasoline,hardTop,46810.0,automatic,no,unknown,unknown,,ok,ok,ok,ok,ok,ok,,,serviceSuggested,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceSuggested,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,ok,,ok,,ok,ok,,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,-42.0,ok,ok,ok,ok,ok,ok,ok,,,,,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,ok,ok,ok,,ok,ok,No,ok,,ok,ok,ok,notAvailable,notAvailable,ok,ok,ok,ok,serviceSuggested,notAvailable,ok,ok,serviceSuggested,serviceSuggested,ok,serviceSuggested,,,ok,ok,ok,ok,ok,yes,yes,ok,,1.0,,ok,ok,ok,no,serviceSuggested,1.0,yes,yes,no,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,yes,ok,,,35341.0,2021-09-21 19:20:00,DDC,consumer,35341.0,38478.0,32723.0,35628.0,37600.0,,35341.0,6,9,37485.90644897137,37812.28893229948,37536.027
1035,2015,Audi,A4,Komfort Plus 4D Sedan Qtro at,gasoline,hardTop,110000.0,manual,no,no,no,,ok,ok,serviceSuggested,ok,ok,ok,,,ok,,ok,,,ok,,ok,,ok,,ok,notAvailable,notAvailable,serviceRequired,ok,ok,,8.0,32.0,ok,6.0,ok,ok,ok,ok,ok,,8.0,32.0,ok,6.0,ok,ok,ok,ok,ok,,8.0,32.0,ok,6.0,ok,ok,ok,ok,ok,,8.0,ok,6.0,ok,ok,ok,ok,32.0,,,ok,ok,ok,ok,yes,no,no,ok,notAvailable,,notAvailable,,ok,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,,,,ok,,ok,,,,,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,ok,ok,ok,ok,,ok,ok,ok,,ok,ok,,ok,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,no,no,ok,,1.0,,,ok,ok,no,ok,2.0,yes,yes,yes,leather,ok,,ok,ok,notAvailable,notAvailable,notAvailable,notAvailable,notAvailable,ok,notAvailable,notAvailable,notAvailable,notAvailable,notAvailable,ok,,ok,serviceSuggested,ok,14100.0,2022-02-25 17:01:06,DDC,consumer,13266.0,14492.0,12880.0,14070.0,14200.0,15000.0,13664.0,8,2,14200.282314456008,14347.01747597896,14167.088
928,2015,Subaru,XV Crosstrek,Touring 5D Hatchback 5sp,gasoline,hardTop,36027.0,manual,,,,,ok,ok,serviceSuggested,ok,ok,serviceSuggested,ok,ok,ok,notAvailable,ok,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,notAvailable,notAvailable,serviceSuggested,,ok,ok,6.0,30.0,ok,9.0,ok,ok,ok,ok,ok,ok,8.0,30.0,ok,8.0,ok,ok,ok,ok,ok,ok,7.0,30.0,ok,8.0,ok,ok,ok,ok,ok,ok,7.0,ok,9.0,ok,ok,ok,ok,30.0,no,yes,,,,,,,,,notAvailable,notAvailable,notAvailable,notAvailable,notAvailable,ok,,,,,,,,,,,,,-42.0,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,notAvailable,ok,ok,ok,ok,ok,,ok,ok,ok,ok,notAvailable,notAvailable,notAvailable,notAvailable,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,,ok,ok,ok,ok,ok,ok,ok,ok,2.0,2.0,ok,ok,ok,ok,,,,,,,,,,ok,ok,ok,ok,ok,ok,notAvailable,ok,ok,notAvailable,ok,Ok,ok,ok,,,,,16336.0,2021-04-29 21:46:08,DDC,consumer,16336.0,17802.0,15126.0,16483.0,16500.0,0.0,16336.0,8,4,15786.425335094023,18111.978520882345,16526.139
