,id,vehicle_vin,vehicle_mileage,vehicle_lead_source,seller_type,num_auctions,valuation_autozen_low,valuation_autozen_high,valuation_cbb_trade_in_low,valuation_cbb_trade_in_high,valuation_cbb_base_retail_avg,valuation_highest_bid_amount,valuation_seller_asking_price,valuation_starting_price
0,1234,,,,consumer,1,,,,,,,,
1,1n7Yaj56FUZ0lJ6afK9E3UtE2yg,5N1AL0MM7EC550810,73330.0,DDC,consumer,1,17870.0,19462.0,16546.0,18020.0,,,,17870.0
2,1nzxtOEo9q0BJVLmBDttAoG1A22,1FAHP2H88EG172396,125910.0,MQL,consumer,1,8265.0,11500.0,7605.0,11870.0,,,,8265.0
3,1o1i0xXJG83iyK7gIbwFT5ONLdQ,WBAJA7C38HG458370,53277.0,DDC,consumer,1,31825.0,36500.0,28010.0,34535.0,,,,31825.0
4,1oa9DemRTTOCaV3EaDAwWw8A78T,WA1VFCFP9EA060428,119125.0,DDC,consumer,1,14155.0,20000.0,10015.0,15950.0,,,,14155.0
5,1oahwtdVRa3xjfLoUr5uIalQXDQ,2FMDK3JC3DBA27330,159548.0,DDC,consumer,1,7505.0,10500.0,6745.0,,,,,7505.0
6,1oaQNFcgSTEyd2PjGlj1L0NL7vP,5FPYK3F1XHB504056,66067.0,DDC,consumer,1,33725.0,36000.0,20490.0,26985.0,,,,33725.0
7,1ocysMfvHTifXfo2U6I2nOKDiHh,2GNFLCEK4D6102919,145661.0,DDC,consumer,1,7315.0,10500.0,5225.0,,,,,7315.0
8,1oDv4nJmQJSH7wkKvxgh0iNlrGh,WVGNV7AX4HK017908,75555.0,DDC,consumer,1,19000.0,25000.0,11480.0,16815.0,,,,19000.0
9,1ofJU5gfsxU2vcSDNvFA9gLfqU2,1FMCU0GX3FUC38653,13728.0,DDC,consumer,1,,,6315.0,9645.0,,,,
10,1ofvkU2oGAdheX5F0N1VmpM7Dbf,WA1WMCFE5FD002535,134734.0,DDC,consumer,1,20140.0,33500.0,17435.0,21545.0,,,,20140.0
11,1oGHuxkZ4KHs2s913okyba5CqIS,KNAGM4A70F5551575,46830.0,DDC,consumer,1,9500.0,15500.0,6650.0,10335.0,,,,9500.0
