"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-01","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","111.0","","","","1"
"2021-02","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","118.2","","","","1"
"2021-03","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","125.0","","","","1"
"2021-04","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","127.5","","","","1"
"2021-05","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","131.5","","","","1"
"2021-06","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","133.7","","","","1"
"2021-07","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","138.4","","","","1"
"2021-08","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","139.0","","","","1"
"2021-09","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","138.9","","","","1"
"2021-10","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","146.0","","","","1"
"2021-11","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","145.8","","","","1"
"2021-12","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","140.0","","","","1"
"2022-01","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","146.6","","","","1"
"2022-02","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","156.8","","","","1"
"2022-03","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","175.2","","","","1"
"2022-04","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","173.8","","","","1"
"2022-05","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","194.8","","","","1"
"2022-06","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","207.2","","","","1"
"2022-07","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","187.8","","","","1"
"2022-08","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","169.6","","","","1"
"2022-09","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","156.4","","","","1"
"2022-10","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","171.5","","","","1"
"2022-11","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","165.3","","","","1"
"2022-12","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","143.6","","","","1"
"2023-01","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","150.3","","","","1"
"2023-02","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","148.5","","","","1"
"2023-03","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","150.3","","","","1"
"2023-04","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","160.1","","","","1"
"2021-01","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","124.8","","","","1"
"2021-02","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","130.8","","","","1"
"2021-03","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","141.6","","","","1"
"2021-04","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","141.2","","","","1"
"2021-05","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","143.5","","","","1"
"2021-06","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","145.0","","","","1"
"2021-07","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","153.4","","","","1"
"2021-08","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","151.9","","","","1"
"2021-09","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","153.8","","","","1"
"2021-10","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","160.2","","","","1"
"2021-11","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","159.1","","","","1"
"2021-12","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","151.7","","","","1"
"2022-01","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","159.2","","","","1"
"2022-02","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","170.9","","","","1"
"2022-03","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","187.8","","","","1"
"2022-04","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","189.9","","","","1"
"2022-05","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","215.5","","","","1"
"2022-06","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","219.7","","","","1"
"2022-07","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","200.4","","","","1"
"2022-08","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","184.3","","","","1"
"2022-09","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","166.8","","","","1"
"2022-10","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","180.1","","","","1"
"2022-11","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","181.2","","","","1"
"2022-12","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","157.8","","","","1"
"2023-01","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","165.5","","","","1"
"2023-02","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","166.1","","","","1"
"2023-03","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","165.1","","","","1"
"2023-04","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","174.3","","","","1"
"2021-01","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","109.1","","","","1"
"2021-02","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","115.3","","","","1"
"2021-03","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","125.4","","","","1"
"2021-04","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","126.2","","","","1"
"2021-05","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","129.5","","","","1"
"2021-06","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","130.9","","","","1"
"2021-07","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","137.1","","","","1"
"2021-08","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","136.7","","","","1"
"2021-09","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","137.5","","","","1"
"2021-10","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","143.9","","","","1"
"2021-11","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","143.5","","","","1"
"2021-12","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","134.6","","","","1"
"2022-01","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","143.5","","","","1"
"2022-02","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","154.8","","","","1"
"2022-03","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","172.4","","","","1"
"2022-04","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","171.0","","","","1"
"2022-05","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","204.5","","","","1"
"2022-06","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","214.2","","","","1"
"2022-07","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","195.5","","","","1"
"2022-08","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","180.0","","","","1"
"2022-09","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","163.7","","","","1"
"2022-10","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","177.1","","","","1"
"2022-11","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","177.0","","","","1"
"2022-12","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","151.2","","","","1"
"2023-01","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","161.8","","","","1"
"2023-02","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","162.7","","","","1"
"2023-03","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","160.7","","","","1"
"2023-04","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","168.4","","","","1"
"2021-01","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","107.5","","","","1"
"2021-02","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","115.4","","","","1"
"2021-03","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","125.0","","","","1"
"2021-04","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","125.1","","","","1"
"2021-05","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","127.6","","","","1"
"2021-06","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","129.2","","","","1"
"2021-07","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","135.4","","","","1"
"2021-08","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","134.1","","","","1"
"2021-09","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","135.1","","","","1"
"2021-10","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","142.4","","","","1"
"2021-11","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","140.8","","","","1"
"2021-12","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","130.7","","","","1"
"2022-01","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","141.4","","","","1"
"2022-02","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","153.8","","","","1"
"2022-03","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","171.1","","","","1"
"2022-04","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","169.1","","","","1"
"2022-05","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","195.8","","","","1"
"2022-06","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","208.1","","","","1"
"2022-07","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","187.1","","","","1"
"2022-08","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","170.2","","","","1"
"2022-09","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","153.5","","","","1"
"2022-10","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","167.2","","","","1"
"2022-11","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","170.2","","","","1"
"2022-12","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","144.0","","","","1"
"2023-01","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","151.3","","","","1"
"2023-02","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","151.4","","","","1"
"2023-03","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","150.1","","","","1"
"2023-04","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","163.2","","","","1"
"2021-01","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","106.1","","","","1"
"2021-02","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","112.3","","","","1"
"2021-03","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","123.1","","","","1"
"2021-04","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","125.8","","","","1"
"2021-05","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","128.7","","","","1"
"2021-06","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","130.2","","","","1"
"2021-07","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","135.8","","","","1"
"2021-08","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","136.3","","","","1"
"2021-09","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","137.7","","","","1"
"2021-10","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","143.1","","","","1"
"2021-11","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","146.0","","","","1"
"2021-12","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","139.6","","","","1"
"2022-01","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","142.2","","","","1"
